Alpha,Algorithm,Content_Type,Category,Mean_Delay,Std_Delay,Median_Delay,Min_Delay,Max_Delay,P95_Delay,Sample_Count,Run_ID
2.0,LRU,UAV,IV,0.533479256895193,0.1621030051233981,0.663189,0.001,0.669713,0.6683724,1269,20260417_192017
2.0,LRU,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,4393,20260417_192017
2.0,LRU,grid,III,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3218,20260417_192017
2.0,LRU,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,2677,20260417_192017
2.0,Popularity,satellite,I,2.2369898125812746,1.4867245072561892,3.224206,0.001,3.229927,3.2284388,6152,20260417_192313
2.0,Popularity,satellite,II,0.3200153028931518,0.0901443237858569,0.345251,0.001,0.349952,0.348583,28723,20260417_192313
2.0,Popularity,satellite,III,0.0286341727490278,0.0021337582035962,0.028644,0.001,0.033114,0.0318955,6686,20260417_192313
2.0,Popularity,UAV,II,0.270671796410544,0.0837821728698848,0.342902,0.174021,0.349878,0.3481647,1783,20260417_192313
2.0,Popularity,UAV,III,0.0237517510788544,0.0053206677050538,0.0249935,0.013523,0.033127,0.03136045,5098,20260417_192313
2.0,Popularity,UAV,IV,0.5224244307142858,0.1629112320029076,0.6629959999999999,0.334246,0.669825,0.6682762,1400,20260417_192313
2.0,Popularity,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,4226,20260417_192313
2.0,Popularity,grid,III,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3193,20260417_192313
2.0,Popularity,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,2424,20260417_192313
2.0,MAB_Original,satellite,I,1.757273567125196,1.605812430261191,3.222632,0.001,3.229908,3.2281817,5743,20260417_203024
2.0,MAB_Original,satellite,II,0.2567141817659521,0.1506962964308339,0.344487,0.001,0.349955,0.3484685999999999,27849,20260417_203024
2.0,MAB_Original,satellite,III,0.021750146137787,0.0120859711592496,0.027688,0.001,0.033184,0.031567,6227,20260417_203024
2.0,MAB_Original,UAV,II,0.2752822379438261,0.0842544116164124,0.343338,0.001,0.349823,0.3481451,1887,20260417_203024
2.0,MAB_Original,UAV,III,0.024417655455011,0.0054340922211067,0.026501,0.001,0.033104,0.0313632,5857,20260417_203024
2.0,MAB_Original,UAV,IV,0.5255884855570839,0.1657101624140963,0.6632395,0.001,0.669942,0.6682787,1454,20260417_203024
2.0,MAB_Original,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,5441,20260417_203024
2.0,MAB_Original,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3732,20260417_203024
2.0,MAB_Original,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3108,20260417_203024
2.0,MAB_Contextual,satellite,I,1.397153186153846,1.5976746524288277,0.001,0.001,3.229867,3.22778975,5850,20260417_203324
2.0,MAB_Contextual,satellite,II,0.0027754159275751,0.0246712289830585,0.001,0.001,0.349763,0.001,27173,20260417_203324
2.0,MAB_Contextual,satellite,III,0.002387976773783,0.0060708673361349,0.001,0.001,0.033099,0.001,6286,20260417_203324
2.0,MAB_Contextual,UAV,II,0.2064865530097087,0.1407087266472257,0.178168,0.001,0.349795,0.3479358,2575,20260417_203324
2.0,MAB_Contextual,UAV,III,0.0156090859903381,0.012337780201737,0.018564,0.001,0.033074,0.031088,8280,20260417_203324
2.0,MAB_Contextual,UAV,IV,0.385538345110087,0.2761128742716011,0.338031,0.001,0.669799,0.66808,1953,20260417_203324
2.0,MAB_Contextual,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,5405,20260417_203324
2.0,MAB_Contextual,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3720,20260417_203324
2.0,MAB_Contextual,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3090,20260417_203324
2.0,MAB_Contextual_EnergyAware,satellite,I,1.5241501356907896,1.6097848155659311,0.001,0.001,3.229832,3.2281071,6080,20260417_215926
2.0,MAB_Contextual_EnergyAware,satellite,II,0.0041615301081505,0.0328504432983129,0.001,0.001,0.349508,0.001,29311,20260417_215926
2.0,MAB_Contextual_EnergyAware,satellite,III,0.0032070865098272,0.0075165981032823,0.001,0.001,0.032853,0.027853,6716,20260417_215926
2.0,MAB_Contextual_EnergyAware,UAV,II,0.2066013349339736,0.1380174153031357,0.178158,0.001,0.349829,0.3478165,2499,20260417_215926
2.0,MAB_Contextual_EnergyAware,UAV,III,0.0158156812564961,0.0117820811367105,0.018516,0.001,0.033067,0.0308311,8659,20260417_215926
2.0,MAB_Contextual_EnergyAware,UAV,IV,0.3653163914489311,0.2734829556150557,0.337438,0.001,0.669885,0.6677704,2105,20260417_215926
2.0,MAB_Contextual_EnergyAware,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,5248,20260417_215926
2.0,MAB_Contextual_EnergyAware,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3707,20260417_215926
2.0,MAB_Contextual_EnergyAware,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,2916,20260417_215926
2.0,Federated_MAB_EnergyAware,satellite,I,1.584981055430061,1.6120287001291735,0.001,0.001,3.22979,3.2281621,5755,20260417_232754
2.0,Federated_MAB_EnergyAware,satellite,II,0.0030998795647486,0.0268098954884677,0.001,0.001,0.349373,0.001,29684,20260417_232754
2.0,Federated_MAB_EnergyAware,satellite,III,0.0022232213638389,0.0057032200923517,0.001,0.001,0.033032,0.001,6731,20260417_232754
2.0,Federated_MAB_EnergyAware,UAV,II,0.2036618934959349,0.141065155520056,0.178,0.001,0.349865,0.34796775,2460,20260417_232754
2.0,Federated_MAB_EnergyAware,UAV,III,0.015364501446257,0.0121960089647639,0.018441,0.001,0.033186,0.0310495,8643,20260417_232754
2.0,Federated_MAB_EnergyAware,UAV,IV,0.3977759292929293,0.2728636383138277,0.33824,0.001,0.669763,0.667945,1881,20260417_232754
2.0,Federated_MAB_EnergyAware,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,4867,20260417_232754
2.0,Federated_MAB_EnergyAware,grid,III,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3353,20260417_232754
2.0,Federated_MAB_EnergyAware,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,2709,20260417_232754
2.0,Enhanced_Federated_MAB,satellite,I,3.2192403247431085,0.1425308842838777,3.225551,0.001,3.229947,3.228714,6131,20260418_004051
2.0,Enhanced_Federated_MAB,satellite,II,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,28651,20260418_004051
2.0,Enhanced_Federated_MAB,satellite,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,6656,20260418_004051
2.0,Enhanced_Federated_MAB,UAV,II,0.1767763517670156,0.1462438343261012,0.177147,0.001,0.349954,0.34764275,3056,20260418_004051
2.0,Enhanced_Federated_MAB,UAV,III,0.0157606045819014,0.0117389751392208,0.0185075,0.001,0.033115,0.03074555,8730,20260418_004051
2.0,Enhanced_Federated_MAB,UAV,IV,0.3393976550507278,0.2834593884538333,0.337123,0.001,0.669607,0.6676439999999999,2267,20260418_004051
2.0,Enhanced_Federated_MAB,grid,II,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,6622,20260418_004051
2.0,Enhanced_Federated_MAB,grid,III,0.001,0.0,0.001,0.001,0.001,0.001,4293,20260418_004051
2.0,Enhanced_Federated_MAB,grid,IV,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3505,20260418_004051
2.0,Enhanced_Federated_MAB_EnergyAware,satellite,I,1.577987511765674,1.611887792724379,0.001,0.001,3.229875,3.2281036,6077,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,satellite,II,0.0019883876295578,0.0184208520801661,0.001,0.001,0.349138,0.001,26822,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,satellite,III,0.002751589193422,0.006775711776178,0.001,0.001,0.032959,0.0271223999999999,6385,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,UAV,II,0.1880163697761194,0.1441572498606453,0.17741,0.001,0.34986,0.3478283,2680,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,UAV,III,0.0154157544588321,0.0119968955507524,0.018435,0.001,0.033169,0.030947,8186,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,UAV,IV,0.3737913516129032,0.2668849426772353,0.3375485,0.001,0.669763,0.66783555,1860,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,grid,II,0.001,0.0,0.001,0.001,0.001,0.001,4632,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3319,20260418_004408
2.0,Enhanced_Federated_MAB_EnergyAware,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,2716,20260418_004408
