Algorithm,Runs,Rows,Total_Samples,Weighted_Mean_Delay,Weighted_P95_Delay,Mean_of_Mean_Delay,Std_of_Mean_Delay
MAB_Contextual,4,36,261710,0.15679624819838747,0.33181053603989147,0.2330853987321886,0.45778264711470557
LRU,4,36,243452,0.1609468635295664,0.49551473435749144,0.22482926902808836,0.3565267307524066
Federated_MAB_EnergyAware,4,36,261776,0.1613934047315262,0.32476056578677953,0.24061551913578005,0.48130703443544626
MAB_Contextual_EnergyAware,4,36,234884,0.16738549413327428,0.33469455365669865,0.24456973940589435,0.496718209983977
Enhanced_Federated_MAB_EnergyAware,4,36,258476,0.17099427129791545,0.33481923927598695,0.24748989325455828,0.5002682388219698
MAB_Original,4,36,249187,0.28797529586214377,0.5026566131154514,0.3502795011074733,0.6889089912956299
Enhanced_Federated_MAB,4,36,265408,0.3116172276344345,0.3334132963245268,0.41644750643733774,0.9965185686508512
Popularity,4,36,249656,0.38844254086823465,0.5011272622660781,0.38129870071132693,0.6847923855473949
