Algorithm,Average_Rank,Median_Delay,Mean_Delay
Enhanced_Federated_MAB,3.138888888888889,0.001,0.4164475064373377
MAB_Contextual,3.75,0.0035484145072307,0.23308539873218864
MAB_Contextual_EnergyAware,3.75,0.00368430830898885,0.24456973940589435
Enhanced_Federated_MAB_EnergyAware,3.7777777777777777,0.00279901630681905,0.24748989325455836
Federated_MAB_EnergyAware,3.861111111111111,0.00368441981924495,0.2406155191357801
LRU,5.444444444444445,0.02405377563273535,0.22482926902808836
MAB_Original,5.972222222222222,0.02428026152440755,0.35027950110747336
Popularity,6.305555555555555,0.02867492945398885,0.381298700711327
